,date,close
1391,2017-02-17,1046.21
1392,2017-02-18,1054.42
1393,2017-02-19,1047.87
1394,2017-02-20,1079.98
1395,2017-02-21,1115.3
1396,2017-02-22,1117.44
1397,2017-02-23,1166.72
1398,2017-02-24,1173.68
1399,2017-02-25,1143.84
1400,2017-02-26,1165.2
1401,2017-02-27,1179.97
1402,2017-02-28,1179.97
1403,2017-03-01,1222.5
1404,2017-03-02,1251.01
1405,2017-03-03,1274.99
1406,2017-03-04,1255.15
1407,2017-03-05,1267.12
1408,2017-03-06,1272.83
1409,2017-03-07,1223.54
1410,2017-03-08,1150.0
1411,2017-03-09,1188.49
1412,2017-03-10,1116.72
1413,2017-03-11,1175.83
1414,2017-03-12,1221.38
1415,2017-03-13,1231.92
1416,2017-03-14,1240.0
1417,2017-03-15,1249.61
1418,2017-03-16,1187.81
1419,2017-03-17,1100.23
1420,2017-03-18,973.82
1421,2017-03-19,1036.74
1422,2017-03-20,1054.23
1423,2017-03-21,1120.54
1424,2017-03-22,1049.14
1425,2017-03-23,1038.59
1426,2017-03-24,937.52
1427,2017-03-25,972.78
1428,2017-03-26,966.72
1429,2017-03-27,1045.77
1430,2017-03-28,1047.15
1431,2017-03-29,1039.97
1432,2017-03-30,1026.43
1433,2017-03-31,1071.79
1434,2017-04-01,1080.5
1435,2017-04-02,1102.17
1436,2017-04-03,1143.81
1437,2017-04-04,1133.25
1438,2017-04-05,1124.78
1439,2017-04-06,1182.68
1440,2017-04-07,1176.9
1441,2017-04-08,1175.95
1442,2017-04-09,1187.87
1443,2017-04-10,1187.13
1444,2017-04-11,1205.01
1445,2017-04-12,1200.37
1446,2017-04-13,1169.28
1447,2017-04-14,1167.54
1448,2017-04-15,1172.52
1449,2017-04-16,1182.94
1450,2017-04-17,1193.91
1451,2017-04-18,1211.67
1452,2017-04-19,1210.29
1453,2017-04-20,1229.08
1454,2017-04-21,1222.05
1455,2017-04-22,1231.71
1456,2017-04-23,1207.21
1457,2017-04-24,1250.15
1458,2017-04-25,1265.49
1459,2017-04-26,1281.08
1460,2017-04-27,1317.73
1461,2017-04-28,1316.48
1462,2017-04-29,1321.79
1463,2017-04-30,1347.89
1464,2017-05-01,1421.6
1465,2017-05-02,1452.82
1466,2017-05-03,1490.09
1467,2017-05-04,1537.67
1468,2017-05-05,1555.45
1469,2017-05-06,1578.8
1470,2017-05-07,1596.71
1471,2017-05-08,1723.35
1472,2017-05-09,1755.36
1473,2017-05-10,1787.13
1474,2017-05-11,1848.57
1475,2017-05-12,1724.24
1476,2017-05-13,1804.91
1477,2017-05-14,1808.91
1478,2017-05-15,1738.43
1479,2017-05-16,1734.45
1480,2017-05-17,1839.09
1481,2017-05-18,1888.65
1482,2017-05-19,1987.71
1483,2017-05-20,2084.73
1484,2017-05-21,2041.2
1485,2017-05-22,2173.4
1486,2017-05-23,2320.42
1487,2017-05-24,2443.64
1488,2017-05-25,2304.98
1489,2017-05-26,2202.42
1490,2017-05-27,2038.87
1491,2017-05-28,2155.8
1492,2017-05-29,2255.61
1493,2017-05-30,2175.47
1494,2017-05-31,2286.41
1495,2017-06-01,2407.88
1496,2017-06-02,2488.55
1497,2017-06-03,2515.35
1498,2017-06-04,2511.81
1499,2017-06-05,2686.81
1500,2017-06-06,2863.2
1501,2017-06-07,2732.16
1502,2017-06-08,2805.62
1503,2017-06-09,2823.81
1504,2017-06-10,2947.71
1505,2017-06-11,2958.11
1506,2017-06-12,2659.63
1507,2017-06-13,2717.02
1508,2017-06-14,2506.37
1509,2017-06-15,2464.58
1510,2017-06-16,2518.56
1511,2017-06-17,2655.88
1512,2017-06-18,2548.29
1513,2017-06-19,2589.6
1514,2017-06-20,2721.79
1515,2017-06-21,2689.1
1516,2017-06-22,2705.41
1517,2017-06-23,2744.91
1518,2017-06-24,2608.72
1519,2017-06-25,2589.41
1520,2017-06-26,2478.45
1521,2017-06-27,2552.45
1522,2017-06-28,2574.79
1523,2017-06-29,2539.32
1524,2017-06-30,2480.84
1525,2017-07-01,2434.55
1526,2017-07-02,2506.47
1527,2017-07-03,2564.06
1528,2017-07-04,2601.64
1529,2017-07-05,2601.99
1530,2017-07-06,2608.56
1531,2017-07-07,2518.66
1532,2017-07-08,2571.34
1533,2017-07-09,2518.44
1534,2017-07-10,2372.56
1535,2017-07-11,2337.79
1536,2017-07-12,2398.84
1537,2017-07-13,2357.9
1538,2017-07-14,2233.34
1539,2017-07-15,1998.86
1540,2017-07-16,1929.82
1541,2017-07-17,2228.41
1542,2017-07-18,2318.88
1543,2017-07-19,2273.43
1544,2017-07-20,2817.6
1545,2017-07-21,2667.76
1546,2017-07-22,2810.12
1547,2017-07-23,2730.4
1548,2017-07-24,2754.86
1549,2017-07-25,2576.48
1550,2017-07-26,2529.45
1551,2017-07-27,2671.78
1552,2017-07-28,2809.01
1553,2017-07-29,2726.45
1554,2017-07-30,2757.18
1555,2017-07-31,2875.34
1556,2017-08-01,2718.26
1557,2017-08-02,2710.67
1558,2017-08-03,2804.73
1559,2017-08-04,2895.89
1560,2017-08-05,3252.91
1561,2017-08-06,3213.94
1562,2017-08-07,3378.94
1563,2017-08-08,3419.94
1564,2017-08-09,3342.47
1565,2017-08-10,3381.28
1566,2017-08-11,3650.62
1567,2017-08-12,3884.71
1568,2017-08-13,4073.26
1569,2017-08-14,4325.13
1570,2017-08-15,4181.93
1571,2017-08-16,4376.63
1572,2017-08-17,4331.69
1573,2017-08-18,4160.62
1574,2017-08-19,4193.7
1575,2017-08-20,4087.66
1576,2017-08-21,4001.74
1577,2017-08-22,4100.52
1578,2017-08-23,4151.52
1579,2017-08-24,4334.68
1580,2017-08-25,4371.6
1581,2017-08-26,4352.4
1582,2017-08-27,4382.88
1583,2017-08-28,4382.66
1584,2017-08-29,4579.02
1585,2017-08-30,4565.3
1586,2017-08-31,4703.39
1587,2017-09-01,4892.01
1588,2017-09-02,4578.77
1589,2017-09-03,4582.96
1590,2017-09-04,4236.31
1591,2017-09-05,4376.53
1592,2017-09-06,4597.12
1593,2017-09-07,4599.88
1594,2017-09-08,4228.75
1595,2017-09-09,4226.06
1596,2017-09-10,4122.94
1597,2017-09-11,4161.27
1598,2017-09-12,4130.81
1599,2017-09-13,3882.59
1600,2017-09-14,3154.95
1601,2017-09-15,3637.52
1602,2017-09-16,3625.04
1603,2017-09-17,3582.88
1604,2017-09-18,4065.2
1605,2017-09-19,3924.97
1606,2017-09-20,3905.95
1607,2017-09-21,3631.04
1608,2017-09-22,3630.7
1609,2017-09-23,3792.4
1610,2017-09-24,3682.84
1611,2017-09-25,3926.07
1612,2017-09-26,3892.35
1613,2017-09-27,4200.67
1614,2017-09-28,4174.73
1615,2017-09-29,4163.07
1616,2017-09-30,4338.71
1617,2017-10-01,4403.74
1618,2017-10-02,4409.32
1619,2017-10-03,4317.48
1620,2017-10-04,4229.36
1621,2017-10-05,4328.41
1622,2017-10-06,4370.81
1623,2017-10-07,4426.89
1624,2017-10-08,4610.48
1625,2017-10-09,4772.02
1626,2017-10-10,4781.99
1627,2017-10-11,4826.48
1628,2017-10-12,5446.91
1629,2017-10-13,5647.21
1630,2017-10-14,5831.79
1631,2017-10-15,5678.19
1632,2017-10-16,5725.59
1633,2017-10-17,5605.51
1634,2017-10-18,5590.69
1635,2017-10-19,5708.52
1636,2017-10-20,6011.45
1637,2017-10-21,6031.6
1638,2017-10-22,6008.42
1639,2017-10-23,5930.32
1640,2017-10-24,5526.64
1641,2017-10-25,5750.8
1642,2017-10-26,5904.83
1643,2017-10-27,5780.9
1644,2017-10-28,5753.09
1645,2017-10-29,6153.85
1646,2017-10-30,6130.53
1647,2017-10-31,6468.4
1648,2017-11-01,6767.31
1649,2017-11-02,7078.5
1650,2017-11-03,7207.76
1651,2017-11-04,7379.95
1652,2017-11-05,7407.41
1653,2017-11-06,7022.76
1654,2017-11-07,7144.38
1655,2017-11-08,7459.69
1656,2017-11-09,7143.58
1657,2017-11-10,6618.14
1658,2017-11-11,6357.6
1659,2017-11-12,5950.07
1660,2017-11-13,6559.49
1661,2017-11-14,6635.75
1662,2017-11-15,7315.54
1663,2017-11-16,7871.69
1664,2017-11-17,7708.99
1665,2017-11-18,7790.15
1666,2017-11-19,8036.49
1667,2017-11-20,8200.64
1668,2017-11-21,8071.26
1669,2017-11-22,8253.55
1670,2017-11-23,8038.77
1671,2017-11-24,8253.69
1672,2017-11-25,8790.92
1673,2017-11-26,9330.55
1674,2017-11-27,9818.35
1675,2017-11-28,10058.8
1676,2017-11-29,9888.61
1677,2017-11-30,10233.6
1678,2017-12-01,10975.6
1679,2017-12-02,11074.6
1680,2017-12-03,11323.2
1681,2017-12-04,11657.2
1682,2017-12-05,11916.7
1683,2017-12-06,14291.5
1684,2017-12-07,17899.7
1685,2017-12-08,16569.4
1686,2017-12-09,15178.2
1687,2017-12-10,15455.4
1688,2017-12-11,16936.8
1689,2017-12-12,17415.4
1690,2017-12-13,16408.2
1691,2017-12-14,16564.0
1692,2017-12-15,17706.9
1693,2017-12-16,19497.4
1694,2017-12-17,19140.8
1695,2017-12-18,19114.2
1696,2017-12-19,17776.7
1697,2017-12-20,16624.6
1698,2017-12-21,15802.9
1699,2017-12-22,13831.8
1700,2017-12-23,14699.2
1701,2017-12-24,13925.8
1702,2017-12-25,14026.6
1703,2017-12-26,16099.8
1704,2017-12-27,15838.5
1705,2017-12-28,14606.5
1706,2017-12-29,14656.2
1707,2017-12-30,12952.2
1708,2017-12-31,14156.4
1709,2018-01-01,13657.2
1710,2018-01-02,14982.1
1711,2018-01-03,15201.0
1712,2018-01-04,15599.2
1713,2018-01-05,17429.5
1714,2018-01-06,17527.0
1715,2018-01-07,16477.6
1716,2018-01-08,15170.1
1717,2018-01-09,14595.4
1718,2018-01-10,14973.3
1719,2018-01-11,13405.8
1720,2018-01-12,13980.6
1721,2018-01-13,14360.2
1722,2018-01-14,13772.0
1723,2018-01-15,13819.8
1724,2018-01-16,11490.5
1725,2018-01-17,11188.6
1726,2018-01-18,11474.9
1727,2018-01-19,11607.4
1728,2018-01-20,12899.2
1729,2018-01-21,11600.1
1730,2018-01-22,10931.4
1731,2018-01-23,10868.4
1732,2018-01-24,11359.4
1733,2018-01-25,11259.4
1734,2018-01-26,11171.4
1735,2018-01-27,11440.7
1736,2018-01-28,11786.3
1737,2018-01-29,11296.4
1738,2018-01-30,10106.3
1739,2018-01-31,10221.1
1740,2018-02-01,9170.54
1741,2018-02-02,8830.75
1742,2018-02-03,9174.91
1743,2018-02-04,8277.01
1744,2018-02-05,6955.27
1745,2018-02-06,7754.0
1746,2018-02-07,7621.3
1747,2018-02-08,8265.59
1748,2018-02-09,8736.98
1749,2018-02-10,8621.9
1750,2018-02-11,8129.97
1751,2018-02-12,8926.57
1752,2018-02-13,8598.31
1753,2018-02-14,9494.63
1754,2018-02-15,10166.4
1755,2018-02-16,10233.9
1756,2018-02-17,11112.7
1757,2018-02-18,10551.8
1758,2018-02-19,11225.3
1759,2018-02-20,11403.7
1760,2018-02-21,10690.4
1761,2018-02-22,10005.0
1762,2018-02-23,10301.1
1763,2018-02-24,9813.07
1764,2018-02-25,9664.73
1765,2018-02-26,10366.7
1766,2018-02-27,10725.6
1767,2018-02-28,10397.9
1768,2018-03-01,10951.0
1769,2018-03-02,11086.4
1770,2018-03-03,11489.7
1771,2018-03-04,11512.6
1772,2018-03-05,11573.3
1773,2018-03-06,10779.9
1774,2018-03-07,9965.57
1775,2018-03-08,9395.01
1776,2018-03-09,9337.55
1777,2018-03-10,8866.0
1778,2018-03-11,9578.63
1779,2018-03-12,9205.12
1780,2018-03-13,9194.85
1781,2018-03-14,8269.81
1782,2018-03-15,8300.86
1783,2018-03-16,8338.35
1784,2018-03-17,7916.88
1785,2018-03-18,8223.68
1786,2018-03-19,8630.65
1787,2018-03-20,8913.47
1788,2018-03-21,8929.28
1789,2018-03-22,8728.47
1790,2018-03-23,8879.62
1791,2018-03-24,8668.12
1792,2018-03-25,8495.78
1793,2018-03-26,8209.4
1794,2018-03-27,7833.04
1795,2018-03-28,7954.48
1796,2018-03-29,7165.7
1797,2018-03-30,6890.52
1798,2018-03-31,6973.53
1799,2018-04-01,6844.23
1800,2018-04-02,7083.8
1801,2018-04-03,7456.11
1802,2018-04-04,6853.84
1803,2018-04-05,6811.47
1804,2018-04-06,6636.32
1805,2018-04-07,6911.09
1806,2018-04-08,7023.52
1807,2018-04-09,6770.73
1808,2018-04-10,6834.76
1809,2018-04-11,6968.32
1810,2018-04-12,7889.25
1811,2018-04-13,7895.96
1812,2018-04-14,7986.24
1813,2018-04-15,8329.11
1814,2018-04-16,8058.67
1815,2018-04-17,7902.09
1816,2018-04-18,8163.42
1817,2018-04-19,8294.31
1818,2018-04-20,8845.83
1819,2018-04-21,8895.58
1820,2018-04-22,8802.46
1821,2018-04-23,8930.88
1822,2018-04-24,9697.5
1823,2018-04-25,8845.74
1824,2018-04-26,9281.51
1825,2018-04-27,8987.05
1826,2018-04-28,9348.48
1827,2018-04-29,9419.08
1828,2018-04-30,9240.55
1829,2018-05-01,9119.01
1830,2018-05-02,9235.92
1831,2018-05-03,9743.86
1832,2018-05-04,9700.76
1833,2018-05-05,9858.15
1834,2018-05-06,9654.8
1835,2018-05-07,9373.01
1836,2018-05-08,9234.82
1837,2018-05-09,9325.18
1838,2018-05-10,9043.94
1839,2018-05-11,8441.49
1840,2018-05-12,8504.89
1841,2018-05-13,8723.94
1842,2018-05-14,8716.79
1843,2018-05-15,8510.38
1844,2018-05-16,8368.83
1845,2018-05-17,8094.32
1846,2018-05-18,8250.97
1847,2018-05-19,8247.18
1848,2018-05-20,8513.25
1849,2018-05-21,8418.99
1850,2018-05-22,8041.78
1851,2018-05-23,7557.82
1852,2018-05-24,7587.34
1853,2018-05-25,7480.14
1854,2018-05-26,7355.88
1855,2018-05-27,7368.22
1856,2018-05-28,7135.99
1857,2018-05-29,7472.59
1858,2018-05-30,7406.52
1859,2018-05-31,7494.17
1860,2018-06-01,7541.45
1861,2018-06-02,7643.45
1862,2018-06-03,7720.25
1863,2018-06-04,7514.47
1864,2018-06-05,7633.76
1865,2018-06-06,7653.98
1866,2018-06-07,7678.24
1867,2018-06-08,7624.92
1868,2018-06-09,7531.98
1869,2018-06-10,6786.02
1870,2018-06-11,6906.92
1871,2018-06-12,6582.36
1872,2018-06-13,6349.9
1873,2018-06-14,6675.35
1874,2018-06-15,6456.58
1875,2018-06-16,6550.16
1876,2018-06-17,6499.27
1877,2018-06-18,6734.82
1878,2018-06-19,6769.94
1879,2018-06-20,6776.55
1880,2018-06-21,6729.74
1881,2018-06-22,6083.69
1882,2018-06-23,6162.48
1883,2018-06-24,6173.23
1884,2018-06-25,6249.18
1885,2018-06-26,6093.67
1886,2018-06-27,6157.13
1887,2018-06-28,5903.44
1888,2018-06-29,6218.3
1889,2018-06-30,6404.0
1890,2018-07-01,6385.82
1891,2018-07-02,6614.18
1892,2018-07-03,6529.59
1893,2018-07-04,6597.55
1894,2018-07-05,6639.14
1895,2018-07-06,6673.5
1896,2018-07-07,6856.93
1897,2018-07-08,6773.88
1898,2018-07-09,6741.75
1899,2018-07-10,6329.95
1900,2018-07-11,6394.71
1901,2018-07-12,6228.81
1902,2018-07-13,6238.05
1903,2018-07-14,6276.12
1904,2018-07-15,6359.64
1905,2018-07-16,6741.75
1906,2018-07-17,7321.04
1907,2018-07-18,7370.78
1908,2018-07-19,7466.86
1909,2018-07-20,7354.13
