date,close,open,high,low,,
"May 19, 2016","1,295.20","1,295.20","1,295.20","1,295.20",,
"May 18, 2016","1,313.60","1,313.60","1,313.60","1,313.60",,
"May 17, 2016","1,314.20","1,315.40","1,315.40","1,315.40",,
"May 16, 2016","1,311.10","1,311.10","1,311.10","1,311.10",,
"May 13, 2016","1,308.80","1,308.80","1,308.80","1,308.80",,
"May 12, 2016","1,307.00","1,307.00","1,307.00","1,307.00",,
"May 11, 2016","1,311.90","1,311.90","1,311.90","1,311.90",,
"May 10, 2016","1,300.60","1,295.00","1,295.00","1,295.00",,
"May 09, 2016","1,302.20","1,302.20","1,302.20","1,302.20",,
"May 06, 2016","1,329.40","1,329.40","1,329.40","1,329.40",,
"May 05, 2016","1,307.10","1,316.80","1,316.80","1,316.80",,
"May 04, 2016","1,310.60","1,310.60","1,310.60","1,310.60",,
"May 03, 2016","1,329.10","1,329.10","1,329.10","1,329.10",,
"May 02, 2016","1,333.60","1,333.60","1,333.60","1,333.60",,
"Apr 29, 2016","1,327.70","1,335.00","1,335.00","1,335.00",,
"Apr 28, 2016","1,303.10","1,303.10","1,303.10","1,303.10",,
"Apr 27, 2016","1,286.50","1,286.50","1,286.50","1,286.50",,
"Apr 26, 2016","1,279.10","1,279.10","1,279.10","1,279.10",,
"Apr 25, 2016","1,275.80","1,275.80","1,275.80","1,275.80",,
"Apr 22, 2016","1,265.50","1,265.50","1,265.50","1,265.50",,
"Apr 21, 2016","1,286.20","1,286.20","1,286.20","1,286.20",,
"Apr 20, 2016","1,289.00","1,289.00","1,289.00","1,289.00",,
"Apr 19, 2016","1,287.50","1,290.00","1,290.60","1,281.30",,
"Apr 18, 2016","1,267.00","1,267.00","1,267.00","1,267.00",,
"Apr 15, 2016","1,266.40","1,266.40","1,266.40","1,266.40",,
"Apr 14, 2016","1,258.80","1,258.80","1,258.80","1,258.80",,
"Apr 13, 2016","1,280.60","1,280.60","1,280.60","1,280.60",,
"Apr 12, 2016","1,293.10","1,293.10","1,293.10","1,293.10",,
"Apr 11, 2016","1,289.10","1,289.10","1,289.10","1,289.10",,
"Apr 08, 2016","1,274.00","1,274.00","1,274.00","1,274.00",,
"Apr 07, 2016","1,269.00","1,269.00","1,269.00","1,269.00",,
"Apr 06, 2016","1,255.50","1,255.50","1,255.50","1,255.50",,
"Apr 05, 2016","1,261.20","1,261.20","1,261.20","1,261.20",,
"Apr 04, 2016","1,251.40","1,251.40","1,251.40","1,251.40",,
"Apr 01, 2016","1,255.60","1,255.60","1,255.60","1,255.60",,
"Mar 31, 2016","1,267.60","1,267.60","1,267.60","1,267.60",,
"Mar 30, 2016","1,263.60","1,263.60","1,263.60","1,263.60",,
"Mar 29, 2016","1,273.00","1,273.00","1,273.00","1,273.00",,
"Mar 28, 2016","1,257.40","1,254.00","1,254.00","1,254.00",,
"Mar 25, 2016","1,216.70","1,216.70","1,216.70","1,216.70",,
"Mar 24, 2016","1,259.10","1,259.10","1,259.10","1,259.10",,
"Mar 23, 2016","1,260.70","1,279.00","1,279.00","1,264.00",,
"Mar 22, 2016","1,285.50","1,288.60","1,288.60","1,284.00",,
"Mar 21, 2016","1,279.40","1,279.40","1,279.40","1,279.40",,
"Mar 18, 2016","1,288.70","1,288.70","1,288.70","1,288.70",,
"Mar 17, 2016","1,300.80","1,300.80","1,300.80","1,300.80",,
"Mar 16, 2016","1,267.60","1,267.60","1,267.60","1,267.60",,
"Mar 15, 2016","1,266.90","1,266.90","1,266.90","1,266.90",,
"Mar 14, 2016","1,281.10","1,279.40","1,282.50","1,279.00",,
"Mar 11, 2016","1,295.30","1,295.30","1,295.30","1,295.30",,
"Mar 10, 2016","1,306.80","1,306.80","1,306.80","1,306.80",,
"Mar 09, 2016","1,290.10","1,284.00","1,284.00","1,284.00",,
"Mar 08, 2016","1,295.70","1,294.10","1,294.10","1,294.00",,
"Mar 07, 2016","1,297.00","1,297.00","1,297.00","1,297.00",,
"Mar 04, 2016","1,302.30","1,302.30","1,302.30","1,302.30",,
"Mar 03, 2016","1,287.40","1,287.40","1,287.40","1,287.40",,
"Mar 02, 2016","1,269.70","1,269.70","1,269.70","1,269.70",,
"Mar 01, 2016","1,257.90","1,257.90","1,257.90","1,257.90",,
"Feb 29, 2016","1,260.00","1,260.00","1,260.00","1,260.00",,
"Feb 26, 2016","1,245.50","1,245.50","1,245.50","1,245.50",,
"Feb 25, 2016","1,263.70","1,263.70","1,263.70","1,263.70",,
