,date,close,open,high,low,day
1397,2018-08-17,1219.3,1214.3,1226.0,1214.3,4
1398,2018-08-20,1229.6,1227.9,1231.6,1227.3,0
1399,2018-08-21,1234.9,1236.0,1237.3,1231.6,1
1400,2018-08-22,1238.2,1239.2,1239.2,1237.4,2
1401,2018-08-23,1228.4,1229.3,1233.4,1228.0,3
1402,2018-08-24,1248.2,1228.6,1249.2,1228.6,4
1403,2018-08-27,1251.2,1245.2,1252.9,1245.2,0
1404,2018-08-28,1249.6,1247.9,1247.9,1242.5,1
1405,2018-08-29,1246.5,1242.8,1246.8,1242.8,2
1406,2018-08-30,1239.5,1243.0,1243.3,1237.4,3
1407,2018-08-31,1241.1,1243.8,1247.9,1241.6,4
1408,2018-09-02,1204.9,1206.2,1206.6,1204.5,6
1409,2018-09-03,1206.3,1204.9,1209.6,1201.3,0
1410,2018-09-04,1233.6,1241.0,1243.2,1230.3,1
1411,2018-09-05,1236.0,1234.4,1237.3,1233.7,2
1412,2018-09-06,1239.1,1242.5,1246.5,1237.8,3
1413,2018-09-07,1235.5,1240.6,1241.5,1235.8,4
1414,2018-09-10,1235.0,1233.7,1237.2,1233.5,0
1415,2018-09-11,1237.6,1234.8,1239.5,1230.0,1
1416,2018-09-12,1246.6,1238.0,1247.0,1235.7,2
1417,2018-09-13,1243.8,1246.4,1252.5,1242.1,3
1418,2018-09-14,1236.6,1244.0,1247.7,1234.8,4
1419,2018-09-17,1241.2,1236.7,1244.7,1236.7,0
1420,2018-09-18,1238.3,1238.2,1241.2,1238.2,1
1421,2018-09-19,1244.1,1240.0,1246.3,1240.0,2
1422,2018-09-20,1247.0,1243.1,1248.2,1241.9,3
1423,2018-09-21,1236.9,1249.7,1250.3,1231.9,4
1424,2018-09-24,1240.0,1237.7,1243.5,1237.7,0
1425,2018-09-25,1240.8,1240.8,1240.8,1240.8,1
1426,2018-09-26,1234.4,1239.7,1239.7,1231.0,2
1427,2018-09-27,1222.4,1236.1,1236.1,1221.8,3
1428,2018-09-28,1231.3,1222.9,1232.0,1220.7,4
1429,2018-10-01,1227.0,1225.2,1228.8,1223.8,0
1430,2018-10-02,1242.7,1228.1,1247.3,1228.1,1
1431,2018-10-03,1238.7,1245.2,1245.2,1237.9,2
1432,2018-10-04,1237.5,1239.0,1242.9,1239.0,3
1433,2018-10-05,1242.2,1238.1,1244.6,1238.1,4
1434,2018-10-08,1224.9,1230.0,1230.0,1223.6,0
1435,2018-10-09,1227.8,1230.1,1231.3,1224.9,1
1436,2018-10-10,1229.4,1228.8,1233.0,1227.0,2
1437,2018-10-11,1264.0,1233.2,1265.7,1231.2,3
1438,2018-10-12,1258.1,1259.4,1261.4,1256.7,4
1439,2018-10-15,1266.9,1258.9,1272.9,1258.9,0
1440,2018-10-16,1267.3,1269.4,1269.4,1268.4,1
1441,2018-10-17,1263.4,1260.4,1268.6,1260.4,2
1442,2018-10-18,1266.6,1262.7,1267.3,1261.3,3
1443,2018-10-19,1265.3,1268.5,1268.5,1265.5,4
1444,2018-10-22,1261.3,1266.9,1266.9,1259.7,0
1445,2018-10-23,1273.5,1269.9,1276.4,1269.9,1
1446,2018-10-24,1267.6,1271.8,1271.8,1269.5,2
1447,2018-10-25,1269.0,1276.5,1277.5,1267.7,3
1448,2018-10-26,1272.3,1270.7,1281.3,1270.0,4
1449,2018-10-29,1263.7,1272.2,1272.2,1263.9,0
1450,2018-10-30,1261.5,1263.7,1263.7,1257.4,1
1451,2018-10-31,1250.8,1260.4,1260.4,1250.0,2
1452,2018-11-01,1274.8,1255.3,1272.0,1255.3,3
1453,2018-11-02,1269.9,1271.0,1273.9,1268.4,4
1454,2018-11-05,1269.0,1269.9,1270.8,1266.5,0
1455,2018-11-06,1263.0,1273.5,1273.5,1262.9,1
1456,2018-11-07,1265.4,1265.3,1273.0,1262.0,2
1457,2018-11-08,1262.0,1262.7,1263.7,1258.0,3
1458,2018-11-09,1245.0,1252.7,1252.7,1243.9,4
1459,2018-11-12,1239.6,1243.4,1244.4,1237.7,0
1460,2018-11-13,1237.5,1239.7,1240.8,1232.5,1
1461,2018-11-14,1246.2,1234.2,1251.3,1234.0,2
1462,2018-11-15,1251.7,1249.6,1252.3,1245.5,3
1463,2018-11-16,1259.0,1253.3,1260.6,1253.3,4
1464,2018-11-19,1261.6,1257.6,1261.0,1257.0,0
1465,2018-11-20,1257.5,1261.9,1262.6,1258.2,1
1466,2018-11-21,1264.7,1261.3,1265.4,1260.6,2
1467,2018-11-22,1228.0,1226.4,1229.7,1225.5,3
1468,2018-11-23,1260.0,1265.2,1265.5,1257.8,4
1469,2018-11-26,1259.7,1260.1,1263.9,1259.4,0
1470,2018-11-27,1250.4,1258.0,1260.0,1248.9,1
1471,2018-11-28,1260.2,1250.9,1261.3,1247.7,2
1472,2018-11-29,1260.8,1261.1,1264.1,1259.0,3
1473,2018-11-30,1256.5,1257.4,1257.7,1255.3,4
1474,2018-12-03,1270.2,1260.6,1271.0,1260.3,0
1475,2018-12-04,1277.4,1271.0,1277.5,1271.0,1
1476,2018-12-05,1273.4,1273.5,1273.5,1269.7,2
1477,2018-12-06,1274.3,1273.0,1279.2,1271.2,3
1478,2018-12-07,1283.6,1273.6,1286.6,1273.5,4
1479,2018-12-10,1280.0,1283.8,1283.8,1279.6,0
1480,2018-12-11,1278.1,1279.8,1285.0,1277.1,1
1481,2018-12-12,1281.0,1280.0,1282.6,1279.8,2
1482,2018-12-13,1278.4,1281.2,1281.9,1276.9,3
1483,2018-12-14,1272.2,1277.1,1277.1,1267.5,4
1484,2018-12-17,1282.6,1271.4,1282.0,1270.2,0
1485,2018-12-18,1284.0,1282.7,1284.6,1280.7,1
1486,2018-12-19,1286.8,1283.9,1289.4,1276.1,2
1487,2018-12-20,1298.6,1279.3,1300.0,1279.2,3
1488,2018-12-21,1288.6,1295.5,1295.5,1287.9,4
1489,2018-12-24,1302.4,1292.5,1303.8,1292.5,0
1490,2018-12-25,1270.75,1272.5,1274.55,1270.65,1
1491,2018-12-26,1303.7,1299.0,1312.8,1298.7,2
1492,2018-12-27,1311.9,1304.0,1312.3,1300.3,3
1493,2018-12-28,1313.7,1311.0,1313.9,1309.2,4
1494,2018-12-31,1312.5,1313.0,1317.1,1311.0,0
1495,2019-01-01,1283.35,1284.7,1284.75,1282.85,1
1496,2019-01-02,1315.3,1319.9,1320.6,1315.0,2
1497,2019-01-03,1326.1,1318.7,1327.0,1318.7,3
1498,2019-01-04,1317.4,1328.0,1330.8,1309.6,4
1499,2019-01-07,1321.5,1317.6,1326.8,1317.6,0
1500,2019-01-08,1317.4,1321.6,1321.6,1312.9,1
1501,2019-01-09,1323.5,1314.3,1326.0,1312.4,2
1502,2019-01-10,1319.2,1325.0,1328.0,1319.1,3
1503,2019-01-11,1321.3,1319.3,1325.8,1319.0,4
1504,2019-01-14,1323.3,1323.1,1327.1,1321.0,0
1505,2019-01-15,1319.7,1324.7,1326.0,1318.1,1
