,date,supply,open,close,high,low,market_cap,spread
1345,2017-01-02,16075400.0,998.62,1021.75,1031.39,996.7,16429024775,34.690000000000055
1346,2017-01-03,16081387.5,1021.6,1043.84,1044.08,1021.6,16786368910,22.479999999999905
1347,2017-01-04,16081387.5,1044.4,1154.73,1159.42,1044.4,18571869009,115.01999999999998
1348,2017-01-05,16081387.5,1156.73,1013.38,1191.1,910.42,16300254795,280.67999999999995
1349,2017-01-06,16087062.5,1014.24,902.2,1046.81,883.94,14513695758,162.8699999999999
1350,2017-01-07,16087062.5,903.49,908.59,908.59,823.56,14618030536,85.03000000000009
1351,2017-01-08,16087062.5,908.17,911.2,942.72,887.25,14661966429,55.47000000000003
1352,2017-01-09,16092575.0,913.24,902.83,913.69,879.81,14528815565,33.88000000000011
1353,2017-01-10,16092575.0,902.44,907.68,914.87,901.06,14608685049,13.81000000000006
1354,2017-01-11,16092575.0,908.11,777.76,919.45,762.77,12519135996,156.68000000000006
1355,2017-01-12,16098637.5,775.18,804.83,826.25,755.76,12956730411,70.49000000000001
1356,2017-01-13,16098637.5,803.74,823.98,829.0,780.0,13266554392,49.0
1357,2017-01-14,16098637.5,825.14,818.41,835.09,812.46,13178601992,22.629999999999995
1358,2017-01-15,16104750.0,818.14,821.8,823.31,812.87,13234840657,10.43999999999994
1359,2017-01-16,16104750.0,821.78,831.53,834.53,820.27,13393372620,14.259999999999991
1360,2017-01-17,16104750.0,830.95,907.94,910.56,830.8,14625779851,79.75999999999999
1361,2017-01-18,16110712.5,909.37,886.62,917.5,858.3,14284036613,59.200000000000045
1362,2017-01-19,16110712.5,888.34,899.07,904.61,884.34,14486616700,20.269999999999982
1363,2017-01-20,16110712.5,898.17,895.03,899.4,887.01,14423545371,12.389999999999986
1364,2017-01-21,16117512.5,895.55,921.79,927.37,895.53,14856911163,31.840000000000032
1365,2017-01-22,16117512.5,922.21,924.67,937.53,897.56,14905439337,39.97000000000003
1366,2017-01-23,16117512.5,925.5,921.01,928.27,916.74,14848013909,11.529999999999973
1367,2017-01-24,16123275.0,910.68,892.69,924.15,892.29,14393026385,31.860000000000014
1368,2017-01-25,16123275.0,891.92,901.54,903.25,891.69,14537488261,11.559999999999945
1369,2017-01-26,16123275.0,902.4,917.59,919.33,902.22,14797955301,17.110000000000014
1370,2017-01-27,16129200.0,918.36,919.75,923.22,915.85,14834831700,7.3700000000000045
1371,2017-01-28,16129200.0,919.81,921.59,923.91,919.81,14866260449,4.100000000000023
1372,2017-01-29,16129200.0,922.07,919.5,923.42,919.15,14834377926,4.269999999999982
1373,2017-01-30,16134987.5,920.15,920.38,923.05,919.47,14850351605,3.5799999999999272
1374,2017-01-31,16134987.5,920.96,970.4,972.02,920.96,15659186515,51.059999999999945
1375,2017-02-01,16134987.5,970.94,989.02,989.11,970.74,15962015276,18.370000000000005
1376,2017-02-02,16141162.5,990.0,1011.8,1013.52,983.22,16331615570,30.299999999999955
1377,2017-02-03,16141162.5,1011.46,1029.91,1033.87,1008.79,16625849489,25.079999999999927
